line,station_1,station_2
bakerloo,Harrow & Wealdstone,Kenton
bakerloo,Kenton,South Kenton
bakerloo,South Kenton,North Wembley
bakerloo,North Wembley,Wembley Central
bakerloo,Wembley Central,Stone Bridge Park
bakerloo,Stone Bridge Park,Harlesden
bakerloo,Harlesden,Willesden Junction
bakerloo,Willesden Junction,Kensal Green
bakerloo,Kensal Green,Queens Park
bakerloo,Queens Park,Kilburn Park
bakerloo,Kilburn Park,Maidavale
bakerloo,Maidavale,Warwick Avenue
bakerloo,Warwick Avenue,Paddington
bakerloo,Paddington,Edgware Road
bakerloo,Edgware Road,Marylebone
bakerloo,Marylebone,Baker Street
bakerloo,Baker Street,Regents Park
bakerloo,Regents Park,Oxford Circus
bakerloo,Oxford Circus,Piccadilly Circus
bakerloo,Piccadilly Circus,Charing Cross
bakerloo,Charing Cross,Embankment
bakerloo,Embankment,Waterloo
bakerloo,Waterloo,Lambeth North
bakerloo,Lambeth North,Elephant & Castle
central,West Ruislip,Ruislip Gardens
central,Ruislip Gardens,South Ruislip
central,South Ruislip,Northolt
central,Northolt,Greenford
central,Greenford,Perivale
central,Perivale,Hanger Lane
central,Hanger Lane,North Acton
central,North Acton,West Acton
central,West Acton,Ealing Broadway
central,North Acton,East Acton
central,East Acton,White City
central,White City,Shepherds Bush
central,Shepherds Bush,Holland Park
central,Holland Park,Nottinghill Gate
central,Nottinghill Gate,Queensway
central,Queensway,Lancaster Gate
central,Lancaster Gate,Marble Arch
central,Marble Arch,Bond Street
central,Bond Street,Oxford Circus
central,Oxford Circus,Tottenham Court Road
central,Tottenham Court Road,Holborn
central,Holborn,Chancery Lane
central,Chancery Lane,St Pauls
central,St Pauls,Bank
central,Bank,Liverpool Street
central,Liverpool Street,Bethnal Green
central,Bethnal Green,Mile End
central,Mile End,Stratford
central,Stratford,Leyton
central,Leyton,Leytonstone
central,Leytonstone,Snaresbrook
central,Snaresbrook,South Woodford
central,South Woodford,Woodford
central,Woodford,Buckhurst Hill
central,Leytonstone,Wanstead
central,Wanstead,Redbridge
central,Redbridge,Gants Hill
central,Gants Hill,Newbury Park
central,Newbury Park,Barkingside
central,Barkingside,Fairlop
central,Fairlop,Hainault
central,Hainault,Grange Hill
central,Grange Hill,Chigwell
central,Chigwell,Roding Valley
central,Roding Valley,Woodford
central,Buckhurst Hill,Loughton
central,Loughton,Debden
central,Debden,Theydon Bois
central,Theydon Bois,Epping
circle,Kings Cross St Pancras,Euston Square
circle,Euston Square,Great Portland Street
circle,Great Portland Street,Baker Street
circle,Baker Street,Edgware Road
circle,Edgware Road,Paddington
circle,Paddington,Royal Oak
circle,Royal Oak,Westbourne Park
circle,Westbourne Park,Ladbroke Grove
circle,Ladbroke Grove,Latimer Road
circle,Latimer Road,Woodland
circle,Woodland,Shepherds Bush Market
circle,Shepherds Bush Market,Gold Hawk Road
circle,Gold Hawk Road,Hammersmith
circle,Paddington,Bayswater
circle,Bayswater,Nottinghill Gate
circle,Nottinghill Gate,High Street Kensington
circle,High Street Kensington,Gloucester Road
circle,Gloucester Road,South Kensington
circle,South Kensington,Sloane Square
circle,Sloane Square,Victoria
circle,Victoria,St James Park
circle,St James Park,Westminster
circle,Westminster,Embankment
circle,Embankment,Temple
circle,Temple,Blackfriars
circle,Blackfriars,Mansion House
circle,Mansion House,Cannon Street
circle,Cannon Street,Monument
circle,Monument,Tower Hill
circle,Tower Hill,Aldgate
circle,Aldgate,Liverpool Street
circle,Liverpool Street,Moorgate
circle,Moorgate,Barbican
circle,Barbican,Farringdon
circle,Farringdon,Kings Cross St Pancras
district,Richmond,Kew Gardens
district,Kew Gardens,Gunnersbury
district,Gunnersbury,Turnham Green
district,Ealing Broadway,Ealing Common
district,Ealing Common,Acton Town
district,Acton Town,Chiswick Park
